modulo_id,complexidade_ciclomatica,complexidade_cat,loc,loc_cat,n_autores,n_autores_cat,churn_relativo,churn_relativo_cat,n_imports,n_imports_cat,cobertura_testes,cobertura_testes_cat,defeito
modulo_001,18,medio,134,medio,1,baixo,9.7,baixo,7,medio,62.2,medio,NAO
modulo_002,12,medio,160,medio,2,medio,31.3,alto,3,baixo,38.4,baixo,SIM
modulo_003,4,baixo,93,medio,3,medio,3.2,baixo,7,medio,42.0,baixo,NAO
modulo_004,5,baixo,32,baixo,3,medio,10.7,medio,14,alto,81.4,alto,NAO
modulo_005,19,medio,362,alto,3,medio,5.5,baixo,7,medio,61.9,medio,NAO
modulo_006,2,baixo,119,medio,2,medio,16.5,medio,4,medio,38.0,baixo,SIM
modulo_007,15,medio,25,baixo,4,alto,48.8,alto,6,medio,93.5,alto,SIM
modulo_008,21,alto,87,medio,3,medio,23.7,medio,11,alto,64.8,medio,NAO
modulo_009,9,baixo,117,medio,1,baixo,31.8,alto,6,medio,33.2,baixo,NAO
modulo_010,17,medio,100,medio,4,alto,29.9,medio,4,medio,74.9,medio,SIM
modulo_011,3,baixo,15,baixo,3,medio,18.2,medio,15,alto,81.9,alto,SIM
modulo_012,12,medio,403,alto,4,alto,7.2,baixo,7,medio,59.9,medio,SIM
modulo_013,7,baixo,234,alto,2,medio,14.3,medio,12,alto,65.6,medio,NAO
modulo_014,4,baixo,138,medio,3,medio,5.3,baixo,8,medio,47.7,baixo,NAO
modulo_015,9,baixo,51,medio,4,alto,9.0,baixo,4,medio,39.4,baixo,NAO
modulo_016,22,alto,98,medio,1,baixo,19.6,medio,7,medio,69.3,medio,NAO
modulo_017,9,baixo,523,alto,2,medio,4.7,baixo,6,medio,55.1,medio,NAO
modulo_018,11,medio,71,medio,3,medio,4.7,baixo,6,medio,29.8,baixo,NAO
modulo_019,8,baixo,69,medio,3,medio,12.2,medio,4,medio,88.1,alto,NAO
modulo_020,6,baixo,134,medio,1,baixo,7.8,baixo,14,alto,73.9,medio,NAO
modulo_021,6,baixo,32,baixo,3,medio,14.0,medio,5,medio,81.2,alto,SIM
modulo_022,14,medio,14,baixo,4,alto,7.2,baixo,16,alto,92.0,alto,SIM
modulo_023,4,baixo,209,alto,3,medio,18.9,medio,9,alto,48.1,baixo,NAO
modulo_024,5,baixo,25,baixo,3,medio,8.5,baixo,1,baixo,80.4,alto,NAO
modulo_025,16,medio,79,medio,2,medio,6.9,baixo,9,alto,49.4,baixo,SIM
modulo_026,3,baixo,64,medio,5,alto,3.2,baixo,4,medio,99.0,alto,NAO
modulo_027,5,baixo,189,medio,4,alto,5.2,baixo,5,medio,99.0,alto,SIM
modulo_028,16,medio,118,medio,1,baixo,4.1,baixo,9,alto,53.6,medio,NAO
modulo_029,31,alto,35,baixo,4,alto,12.3,medio,4,medio,28.1,baixo,SIM
modulo_030,13,medio,92,medio,1,baixo,2.8,baixo,4,medio,56.3,medio,NAO
modulo_031,18,medio,28,baixo,3,medio,10.4,medio,5,medio,63.9,medio,NAO
modulo_032,15,medio,1068,alto,1,baixo,6.0,baixo,3,baixo,90.6,alto,NAO
modulo_033,27,alto,104,medio,2,medio,5.7,baixo,5,medio,40.6,baixo,SIM
modulo_034,6,baixo,55,medio,4,alto,11.3,medio,11,alto,73.7,medio,SIM
modulo_035,5,baixo,73,medio,3,medio,7.3,baixo,9,alto,63.9,medio,NAO
modulo_036,5,baixo,132,medio,4,alto,16.5,medio,6,medio,60.9,medio,NAO
modulo_037,4,baixo,328,alto,2,medio,44.9,alto,5,medio,73.9,medio,NAO
modulo_038,21,alto,182,medio,5,alto,17.0,medio,14,alto,57.5,medio,SIM
modulo_039,20,medio,219,alto,2,medio,22.1,medio,9,alto,62.6,medio,SIM
modulo_040,17,medio,106,medio,3,medio,22.1,medio,3,baixo,73.5,medio,NAO
modulo_041,9,baixo,383,alto,4,alto,2.5,baixo,5,medio,89.5,alto,NAO
modulo_042,19,medio,99,medio,3,medio,11.6,medio,7,medio,96.8,alto,SIM
modulo_043,24,alto,30,baixo,1,baixo,17.2,medio,6,medio,85.1,alto,SIM
modulo_044,7,baixo,148,medio,2,medio,7.4,baixo,9,alto,64.0,medio,NAO
modulo_045,7,baixo,33,baixo,4,alto,13.5,medio,8,medio,73.9,medio,NAO
modulo_046,4,baixo,67,medio,1,baixo,7.8,baixo,22,alto,49.6,baixo,NAO
modulo_047,24,alto,153,medio,2,medio,17.4,medio,6,medio,64.6,medio,NAO
modulo_048,4,baixo,82,medio,3,medio,4.3,baixo,5,medio,99.0,alto,NAO
modulo_049,4,baixo,70,medio,2,medio,29.2,medio,3,baixo,99.0,alto,NAO
modulo_050,16,medio,20,baixo,4,alto,8.6,baixo,4,medio,54.8,medio,SIM
modulo_051,31,alto,16,baixo,3,medio,6.0,baixo,11,alto,76.9,medio,SIM
modulo_052,16,medio,150,medio,2,medio,5.1,baixo,10,alto,49.8,baixo,SIM
modulo_053,26,alto,301,alto,3,medio,7.5,baixo,12,alto,73.6,medio,NAO
modulo_054,6,baixo,53,medio,2,medio,18.3,medio,3,baixo,30.8,baixo,NAO
modulo_055,5,baixo,463,alto,3,medio,7.6,baixo,9,alto,70.9,medio,SIM
modulo_056,12,medio,67,medio,3,medio,36.5,alto,8,medio,79.2,medio,SIM
modulo_057,6,baixo,96,medio,2,medio,17.7,medio,7,medio,59.6,medio,NAO
modulo_058,8,baixo,335,alto,1,baixo,8.5,baixo,7,medio,60.2,medio,NAO
modulo_059,18,medio,157,medio,1,baixo,4.9,baixo,13,alto,86.8,alto,NAO
modulo_060,7,baixo,55,medio,1,baixo,3.2,baixo,15,alto,66.2,medio,NAO
modulo_061,23,alto,114,medio,3,medio,19.4,medio,7,medio,98.2,alto,NAO
modulo_062,5,baixo,132,medio,1,baixo,35.5,alto,5,medio,95.7,alto,NAO
modulo_063,4,baixo,205,alto,2,medio,34.8,alto,11,alto,46.9,baixo,SIM
modulo_064,4,baixo,54,medio,4,alto,7.7,baixo,6,medio,64.6,medio,NAO
modulo_065,18,medio,87,medio,3,medio,9.6,baixo,6,medio,79.7,medio,NAO
modulo_066,13,medio,267,alto,2,medio,13.4,medio,10,alto,42.7,baixo,SIM
modulo_067,4,baixo,58,medio,5,alto,11.2,medio,7,medio,48.0,baixo,SIM
modulo_068,44,alto,776,alto,3,medio,10.8,medio,7,medio,75.7,medio,SIM
modulo_069,16,medio,54,medio,2,medio,6.7,baixo,15,alto,76.3,medio,NAO
modulo_070,20,medio,123,medio,2,medio,28.8,medio,8,medio,37.2,baixo,NAO
modulo_071,3,baixo,78,medio,3,medio,2.8,baixo,6,medio,99.0,alto,NAO
modulo_072,4,baixo,41,baixo,4,alto,7.4,baixo,6,medio,54.4,medio,NAO
modulo_073,16,medio,29,baixo,3,medio,6.1,baixo,7,medio,64.3,medio,SIM
modulo_074,6,baixo,99,medio,3,medio,27.9,medio,8,medio,60.3,medio,SIM
modulo_075,14,medio,25,baixo,5,alto,18.8,medio,4,medio,47.1,baixo,SIM
modulo_076,14,medio,117,medio,4,alto,17.0,medio,8,medio,49.4,baixo,NAO
modulo_077,26,alto,120,medio,1,baixo,13.3,medio,9,alto,67.9,medio,NAO
modulo_078,12,medio,24,baixo,2,medio,9.2,baixo,8,medio,82.8,alto,NAO
modulo_079,23,alto,21,baixo,1,baixo,7.0,baixo,2,baixo,91.2,alto,NAO
modulo_080,9,baixo,410,alto,4,alto,8.1,baixo,6,medio,84.3,alto,NAO
modulo_081,6,baixo,300,alto,2,medio,6.7,baixo,8,medio,31.7,baixo,NAO
modulo_082,22,alto,44,baixo,2,medio,7.7,baixo,6,medio,77.1,medio,NAO
modulo_083,11,medio,24,baixo,3,medio,8.2,baixo,5,medio,45.1,baixo,SIM
modulo_084,3,baixo,63,medio,1,baixo,8.7,baixo,7,medio,82.9,alto,NAO
modulo_085,3,baixo,111,medio,2,medio,18.5,medio,10,alto,39.0,baixo,NAO
modulo_086,7,baixo,42,baixo,2,medio,7.8,baixo,9,alto,89.7,alto,NAO
modulo_087,5,baixo,75,medio,1,baixo,5.0,baixo,21,alto,54.3,medio,NAO
modulo_088,28,alto,132,medio,1,baixo,28.9,medio,5,medio,90.4,alto,SIM
modulo_089,14,medio,20,baixo,1,baixo,8.3,baixo,7,medio,79.7,medio,SIM
modulo_090,24,alto,420,alto,4,alto,9.2,baixo,12,alto,46.6,baixo,SIM
modulo_091,13,medio,53,medio,2,medio,5.8,baixo,3,baixo,42.2,baixo,NAO
modulo_092,3,baixo,305,alto,3,medio,8.8,baixo,7,medio,24.5,baixo,NAO
modulo_093,45,alto,49,baixo,3,medio,4.6,baixo,9,alto,53.7,medio,SIM
modulo_094,7,baixo,166,medio,3,medio,3.7,baixo,11,alto,54.3,medio,NAO
modulo_095,16,medio,708,alto,1,baixo,16.5,medio,8,medio,82.5,alto,NAO
modulo_096,4,baixo,53,medio,2,medio,17.6,medio,6,medio,64.4,medio,NAO
modulo_097,14,medio,93,medio,2,medio,8.4,baixo,14,alto,37.8,baixo,NAO
modulo_098,24,alto,44,baixo,1,baixo,15.9,medio,6,medio,82.7,alto,NAO
modulo_099,13,medio,311,alto,3,medio,4.2,baixo,5,medio,99.0,alto,NAO
modulo_100,11,medio,206,alto,2,medio,8.1,baixo,7,medio,77.6,medio,NAO
modulo_101,5,baixo,192,medio,3,medio,20.3,medio,4,medio,61.9,medio,NAO
modulo_102,10,baixo,199,medio,3,medio,28.2,medio,17,alto,52.0,medio,SIM
modulo_103,92,alto,63,medio,3,medio,35.1,alto,8,medio,63.4,medio,SIM
modulo_104,8,baixo,47,baixo,1,baixo,29.5,medio,7,medio,22.4,baixo,SIM
modulo_105,17,medio,55,medio,1,baixo,17.2,medio,2,baixo,71.4,medio,NAO
modulo_106,16,medio,18,baixo,2,medio,18.0,medio,7,medio,52.2,medio,NAO
modulo_107,22,alto,271,alto,1,baixo,10.7,medio,3,baixo,95.9,alto,SIM
modulo_108,18,medio,155,medio,2,medio,15.7,medio,6,medio,65.6,medio,NAO
modulo_109,32,alto,44,baixo,2,medio,30.6,alto,6,medio,85.5,alto,SIM
modulo_110,9,baixo,68,medio,1,baixo,12.3,medio,2,baixo,71.5,medio,NAO
modulo_111,5,baixo,26,baixo,2,medio,37.4,alto,3,baixo,36.4,baixo,NAO
modulo_112,6,baixo,71,medio,2,medio,3.2,baixo,13,alto,84.1,alto,NAO
modulo_113,11,medio,25,baixo,5,alto,15.0,medio,4,medio,67.9,medio,NAO
modulo_114,2,baixo,390,alto,3,medio,9.6,baixo,4,medio,48.9,baixo,SIM
modulo_115,3,baixo,67,medio,4,alto,25.8,medio,5,medio,68.1,medio,NAO
modulo_116,8,baixo,35,baixo,3,medio,8.0,baixo,7,medio,91.5,alto,NAO
modulo_117,7,baixo,262,alto,1,baixo,6.7,baixo,8,medio,99.0,alto,NAO
modulo_118,23,alto,79,medio,2,medio,11.6,medio,20,alto,60.3,medio,NAO
modulo_119,4,baixo,110,medio,1,baixo,17.1,medio,11,alto,71.7,medio,NAO
modulo_120,15,medio,54,medio,3,medio,3.1,baixo,2,baixo,32.7,baixo,SIM
modulo_121,20,medio,128,medio,5,alto,6.4,baixo,10,alto,84.6,alto,SIM
modulo_122,3,baixo,393,alto,4,alto,10.2,medio,13,alto,56.8,medio,SIM
modulo_123,8,baixo,196,medio,5,alto,6.5,baixo,7,medio,94.1,alto,SIM
modulo_124,5,baixo,103,medio,2,medio,25.1,medio,4,medio,51.9,medio,NAO
modulo_125,4,baixo,108,medio,2,medio,2.8,baixo,1,baixo,45.9,baixo,NAO
modulo_126,14,medio,366,alto,4,alto,5.9,baixo,22,alto,67.7,medio,SIM
modulo_127,10,baixo,100,medio,3,medio,3.3,baixo,8,medio,98.3,alto,NAO
modulo_128,7,baixo,31,baixo,2,medio,11.0,medio,11,alto,82.9,alto,NAO
modulo_129,9,baixo,153,medio,1,baixo,13.8,medio,12,alto,65.2,medio,NAO
modulo_130,17,medio,166,medio,5,alto,16.1,medio,2,baixo,45.9,baixo,SIM
modulo_131,13,medio,36,baixo,3,medio,3.9,baixo,6,medio,32.6,baixo,NAO
modulo_132,9,baixo,114,medio,4,alto,13.7,medio,4,medio,52.2,medio,NAO
modulo_133,41,alto,89,medio,4,alto,8.2,baixo,12,alto,64.3,medio,SIM
modulo_134,17,medio,133,medio,3,medio,17.4,medio,8,medio,43.5,baixo,SIM
modulo_135,10,baixo,69,medio,1,baixo,5.8,baixo,8,medio,62.6,medio,NAO
modulo_136,16,medio,60,medio,1,baixo,24.2,medio,6,medio,98.8,alto,NAO
modulo_137,6,baixo,166,medio,1,baixo,11.8,medio,5,medio,44.3,baixo,NAO
modulo_138,6,baixo,105,medio,4,alto,9.8,baixo,4,medio,66.8,medio,SIM
modulo_139,6,baixo,27,baixo,1,baixo,4.8,baixo,16,alto,94.9,alto,NAO
modulo_140,4,baixo,115,medio,2,medio,4.0,baixo,13,alto,49.7,baixo,NAO
modulo_141,7,baixo,183,medio,2,medio,15.8,medio,6,medio,83.8,alto,NAO
modulo_142,7,baixo,196,medio,2,medio,23.6,medio,8,medio,99.0,alto,NAO
modulo_143,16,medio,70,medio,4,alto,7.3,baixo,6,medio,64.0,medio,NAO
modulo_144,12,medio,207,alto,3,medio,26.5,medio,6,medio,43.0,baixo,NAO
modulo_145,59,alto,36,baixo,2,medio,3.1,baixo,24,alto,36.7,baixo,NAO
modulo_146,6,baixo,14,baixo,4,alto,4.9,baixo,6,medio,49.1,baixo,SIM
modulo_147,9,baixo,129,medio,2,medio,36.4,alto,8,medio,86.9,alto,SIM
modulo_148,15,medio,55,medio,3,medio,46.3,alto,34,alto,72.7,medio,SIM
modulo_149,10,baixo,515,alto,2,medio,24.1,medio,32,alto,58.8,medio,NAO
modulo_150,8,baixo,23,baixo,2,medio,2.7,baixo,19,alto,42.5,baixo,NAO
